haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.6-5
haskell-strict 0.4.0.1-160
haskell-string-conversions 0.4.0.1-151
haskell-syb 0.7.2.3-6
haskell-tagged 0.8.7-1
haskell-tagsoup 0.14.8-206
haskell-temporary 1.3-523
haskell-texmath 0.12.7-3
haskell-text-conversions 0.3.1.1-41
haskell-text-icu 0.8.0.2-30
haskell-text-short 0.1.5-59
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-23
haskell-th-lift 0.8.3-1
haskell-th-lift-instances 0.1.20-26
haskell-these 1.1.1.1-187
haskell-time-compat 1.9.6.1-77
haskell-time-manager 0.0.0-304
haskell-tls 1.7.0-3
haskell-transformers-base 0.4.6-82
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.11.0-4
haskell-unicode-collation 0.1.3.4-4
haskell-unicode-data 0.4.0.1-13
haskell-unicode-transforms 0.4.0.1-50
haskell-uniplate 1.6.13-186
haskell-unix-compat 0.6-68
haskell-unix-time 0.4.9-4
haskell-unliftio 0.2.24.0-4
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.19.1-69
haskell-utf8-string 1.0.2-130
haskell-uuid-types 1.0.5-97
haskell-vault 0.3.1.5-148
haskell-vector 0.13.0.0-43
haskell-vector-algorithms 0.9.0.1-52
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-193
haskell-wai-app-static 3.1.7.4-152
haskell-wai-cors 0.2.7-310
haskell-wai-extra 3.1.13.0-122
haskell-wai-logger 2.4.0-273
haskell-warp 3.3.28-1
haskell-witherable 0.4.2-59
haskell-word8 0.1.3-22
haskell-x509 1.7.7-37
haskell-x509-store 1.6.9-61
haskell-x509-system 1.6.7-64
haskell-x509-validation 1.6.12-66
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.2-16
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.11.0-19
haskell-zip-archive 0.4.3-6
haskell-zlib 0.6.3.0-40
hblock 3.4.2-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
hostapd 2.10-2
hslua-cli 1.4.1-3
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.372-1
hwinfo 22.2-2
hwloc 2.9.1-1
hyperfine 1.17.0-1
hyphen 2.8.8-5
hyprland-nvidia 0.26.0-1
hyprpaper 0.3.0-1
hyprshot 1.2.2-1
i2c-tools 4.3-4
iana-etc 20230524-1
icu 73.2-1
iio-sensor-proxy 3.4-1
ijs 0.35-5
imagemagick 7.1.1.12-1
imath 3.1.9-1
imlib2 1.11.1-1
inetutils 2.4-1
iniparser 4.1-4
input-devices-support 1.0.2-2
inxi 3.3.27.1-1
iproute2 6.4.0-1
iptables-nft 1:1.8.9-1
iputils 20221126-2
ironbar-git v0.12.1.r54.gfc82074-1
iso-codes 4.15.0-1
iw 5.19-2
jansson 2.14-2
jasper 4.0.0-1
java-runtime-common 3-5
jbig2dec 0.19-1
jemalloc 1:5.3.0-2
jfsutils 1.1.15-8
jq 1.6-4
jre-openjdk 20.0.1.u9-3
